Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,-0.38,-0.25,-0.59,-0.46,-0.96,1.57,0.44,-0.59,-0.27,-0.37,0.77,-0.23
1963,-0.72,-0.03,0.57,-0.83,0.23,-0.30,-0.32,-0.19,-0.07,0.01,-0.01,0.08
1964,-0.36,-0.83,0.26,0.15,-0.42,0.35,0.90,0.13,0.48,-1.53,-0.59,-1.26
1965,-0.07,1.32,-0.21,-0.66,0.52,0.37,-1.02,0.35,0.97,0.80,0.19,0.34
1966,-0.21,-0.34,0.02,0.36,-1.11,0.45,-0.43,-1.04,-0.57,-1.60,-0.42,-1.16
1967,0.12,-0.94,-1.73,0.40,0.25,-0.09,-0.72,-0.95,-0.43,1.58,0.37,-0.51
1968,0.37,0.24,0.16,0.62,-1.73,0.41,-1.03,-1.35,-0.86,-0.31,-0.17,-1.00
1969,1.10,-0.12,-0.30,-0.41,0.04,-0.56,0.84,0.50,-1.82,0.81,0.02,-0.45
1970,0.11,0.76,-0.12,-0.21,-0.78,1.04,-0.35,-0.67,-0.88,0.44,-0.46,-0.09
1971,0.50,0.24,0.37,-0.60,-0.64,-1.16,-0.54,0.31,0.43,0.33,-1.33,-0.53
1972,-0.96,-0.37,-0.66,-0.50,0.01,0.55,-0.26,0.67,0.75,0.28,0.46,1.82
1973,0.93,-0.04,0.46,0.92,1.37,0.73,2.01,0.75,-0.07,0.07,-0.42,-0.31
1974,-1.15,-1.44,-0.07,-0.79,-0.60,-0.86,0.42,0.07,-0.82,-1.06,-1.53,-0.63
1975,-0.78,-0.49,-0.78,-0.49,0.23,-0.34,1.89,-0.16,0.71,-1.72,-0.18,-0.57
1976,-1.78,-0.81,-0.55,-0.75,-0.87,-0.75,0.01,-0.68,-0.75,-1.52,-1.09,0.52
1977,-0.04,0.53,-0.55,-0.45,-0.49,-0.69,-0.46,0.91,-0.82,0.74,0.46,0.45
1978,-0.11,0.51,0.74,-0.02,0.49,-0.37,-0.48,-0.61,-1.60,-0.86,-0.60,-0.84
