Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1966,-0.78,0.22,1.22,0.22,0.73,-0.33,-0.25,-1.17,-0.35,-0.33,-0.09,-0.28
1967,0.00,-1.22,-0.51,1.01,0.36,-0.26,0.63,0.66,1.50,0.64,0.35,-0.04
1968,-0.54,-0.41,-0.93,0.00,-2.50,-1.37,-1.82,-0.68,-0.48,0.67,0.73,0.51
1969,0.96,-0.61,-0.27,1.56,-0.12,0.48,-0.04,0.96,0.12,0.09,1.20,0.12
1970,1.05,0.72,0.99,0.23,-0.30,1.19,2.10,0.79,-0.63,0.47,-0.14,-0.28
1971,0.51,-0.07,-1.47,-0.73,1.06,0.31,0.70,-0.55,0.08,0.39,-0.65,-0.09
1972,0.29,0.24,0.56,1.27,0.96,0.84,0.90,-0.25,0.60,0.70,-0.08,0.97
1973,-0.55,-0.91,-0.42,-0.81,-0.30,-1.79,-1.56,-1.53,-0.72,-0.46,-1.03,-0.86
1974,-2.84,-1.27,-0.92,-2.03,-0.96,0.79,0.62,-0.29,-1.31,-0.82,0.37,0.79
1975,1.19,-0.91,-0.18,0.19,2.06,0.77,0.13,0.01,-1.40,-1.95,-0.02,-1.25
1976,-1.17,-1.49,0.12,1.00,1.94,1.67,1.44,1.61,0.92,-1.44,0.20,0.93
1977,0.71,-0.19,-0.42,0.16,-0.53,0.32,1.65,2.26,0.27,0.80,0.10,0.05
1978,-0.38,0.56,0.48,1.70,-0.91,-1.28,-1.55,-1.80,-0.99,-0.36,-0.28,0.26
1979,0.39,-0.40,0.35,-0.18,-1.38,0.62,1.39,-0.30,-0.92,0.71,0.57,0.77
1980,0.23,-0.01,1.36,0.00,-0.06,-0.36,-0.53,0.73,2.11,-0.01,0.79,0.44
1981,-1.11,-1.08,0.94,1.32,-0.38,-0.67,-0.75,-0.14,0.21,0.74,-1.35,0.19
1982,-0.17,-0.42,-1.36,0.45,1.49,1.28,1.50,1.25,-0.52,1.30,1.08,0.24
1983,0.89,0.93,-1.55,-2.17,-0.52,0.16,0.05,-0.32,0.12,-0.38,-0.92,-0.50
1984,-1.39,0.38,-0.20,0.10,0.65,1.21,-1.50,-0.03,-0.84,-0.15,0.33,-0.01
1985,1.76,0.49,0.02,0.11,0.51,0.48,0.63,-0.33,0.30,-0.89,-0.83,0.12
