Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1935,-1.56,-1.54,-1.36,-0.81,-1.45,-0.55,-0.30,0.71,-0.32,-0.21,-0.54,-0.21
1936,-0.45,-0.65,0.43,-1.55,-0.63,-0.97,0.11,0.48,-1.30,-0.73,-0.79,0.26
1937,-2.48,-0.30,-0.05,-1.54,-0.11,-1.16,-0.59,1.17,0.71,1.33,1.78,0.08
1938,-0.44,-1.00,0.66,0.60,1.10,-0.61,-0.44,-0.50,-0.08,1.35,1.36,-0.28
1939,2.33,1.08,-0.54,0.45,1.02,0.09,-1.33,-0.20,-0.27,-0.56,-1.45,-1.85
1940,-0.91,-2.76,2.37,-1.51,-1.57,-0.69,0.33,-0.22,0.41,1.58,-1.18,0.95
1941,-1.08,-1.74,-2.13,1.33,-0.69,-0.07,0.27,-0.26,-0.36,-1.82,0.47,0.40
1942,-0.24,-0.79,-0.11,-0.69,0.58,0.29,-0.15,0.34,0.22,0.00,-0.05,1.38
1943,0.14,-1.02,-0.06,-2.08,-1.45,-0.76,-0.52,-1.75,-0.63,-0.96,-1.07,-1.11
1944,0.04,-2.08,-0.43,-2.69,-1.20,-1.38,-0.61,-1.19,1.22,0.35,0.77,-0.50
1945,-1.08,-2.76,-2.66,-1.21,-0.97,1.00,-1.30,0.57,-0.72,-0.48,0.31,0.88
1946,0.19,-1.91,-2.36,-2.39,-0.91,-1.31,0.86,-0.55,-0.75,-2.09,-0.48,-0.08
1947,-0.32,1.32,-0.40,-0.15,1.28,0.51,-0.03,-0.87,-0.30,-1.05,-1.48,-0.35
1948,-1.56,-0.35,-2.86,-0.94,-1.04,-0.63,-0.87,0.25,0.46,-1.38,-1.28,-0.19
1949,-0.98,-3.34,-1.15,-1.98,-1.25,-1.48,0.06,-0.31,-0.38,-0.39,-0.79,-1.56
1950,-1.35,-1.54,-0.83,-0.80,-0.42,-0.79,0.40,-0.15,0.77,0.15,0.40,1.60
1951,1.70,0.13,0.79,-2.26,-0.11,0.82,-0.02,-1.09,0.58,-0.42,-1.36,-0.23
1952,-0.66,-2.27,0.32,-1.80,-0.89,0.58,-1.07,-0.36,0.23,-0.74,-1.72,-1.06
1953,-0.64,-1.14,0.46,0.15,0.19,-0.24,-0.11,-0.75,-0.77,-0.81,-1.55,-0.83
1954,0.63,-2.78,-2.29,0.15,-0.65,-0.32,-0.33,-0.25,-0.37,0.29,-0.54,0.38
1955,0.20,0.01,-0.10,-0.47,-1.16,-0.54,-0.26,0.40,0.39,-0.01,-2.08,-1.31
1956,-1.59,1.54,1.21,-0.54,-0.44,-0.54,0.04,-0.99,-0.85,-1.79,-2.55,-2.26
1957,-1.81,-1.13,-1.75,-1.13,-0.93,2.80,-0.75,-0.28,-0.53,-0.65,-0.87,0.23
1958,-1.79,-0.82,-0.84,0.04,1.35,-0.81,-0.49,-0.03,-1.33,-1.20,0.92,-1.88
1959,2.25,-0.05,0.03,0.03,-0.98,0.29,-0.09,0.76,-0.50,-0.45,2.13,-1.25
1960,2.23,-1.76,0.44,-0.81,-1.60,-0.84,-0.28,-1.54,-0.55,-0.23,-2.55,1.70
1961,1.86,-0.22,-0.24,0.54,-0.91,0.75,0.25,-0.38,0.45,1.51,0.57,0.74
1962,0.62,-1.37,0.29,0.06,-1.23,1.56,0.70,-0.07,-0.18,-1.61,-0.13,0.06
1963,-0.17,-1.18,-0.21,-1.23,0.38,0.13,-0.41,-0.23,0.24,1.88,-0.13,0.67
1964,-1.20,-1.45,-0.89,-0.06,-0.77,0.17,-0.02,0.07,-0.24,-1.48,-0.28,-2.83
1965,-2.11,0.11,-0.79,-2.25,-0.07,-0.49,-0.96,0.21,0.91,1.47,-0.89,1.68
1966,0.81,-1.40,-0.30,-1.14,-0.78,-1.28,-0.84,-0.84,0.04,-0.43,0.40,-0.77
1967,-1.04,0.73,-0.62,0.71,-0.11,0.97,0.07,-0.62,-0.24,0.87,-0.19,-1.44
1968,1.48,2.15,1.50,1.42,-0.93,-0.47,-0.90,-0.62,-0.90,-0.28,-1.35,-0.91
1969,1.35,0.59,-0.46,-0.27,-1.10,-0.90,0.62,0.39,-2.13,0.40,-0.50,-1.77
1970,-1.07,0.11,-1.22,0.35,-1.25,0.10,0.18,-0.82,-1.68,-0.63,-0.59,-0.05
1971,-0.01,0.80,1.61,1.41,-0.39,-0.11,-0.36,-0.77,-0.53,-1.04,-1.36,-0.47
1972,-0.43,0.20,-1.31,-0.13,0.12,-0.57,0.26,0.82,1.12,0.59,-0.23,1.30
1973,1.81,0.18,-1.60,0.36,-0.14,-0.70,0.43,0.04,0.84,0.60,-0.74,1.10
1974,1.50,-0.44,2.36,0.09,0.82,0.18,0.38,0.01,-0.99,-0.63,-1.67,-1.22
1975,-2.11,0.61,-1.16,-0.46,1.33,0.02,2.10,-0.04,1.19,-0.31,0.89,1.51
1976,-0.51,1.07,0.05,-0.19,-0.84,0.34,-0.15,-0.36,-0.39,-1.42,-0.93,-0.34
1977,-0.19,0.79,-0.60,-1.86,-0.34,-0.10,-0.97,1.41,-1.01,1.27,0.04,0.32
1978,-0.63,-0.74,0.82,-0.23,1.18,0.12,-0.23,-0.94,-0.02,0.13,0.05,-0.99
1979,2.41,0.41,0.38,-1.17,-0.80,1.02,-0.06,-0.36,0.00,-0.25,0.46,0.55
1980,-1.64,-0.54,-0.79,1.24,1.19,0.06,0.33,0.73,1.07,0.49,1.22,1.85
1981,3.20,1.61,-1.46,0.79,0.52,0.17,0.36,-0.21,1.54,0.53,-0.03,0.00
1982,1.91,0.45,1.00,-0.05,0.06,-1.43,-1.29,1.63,-0.22,-0.26,2.26,0.78
1983,-1.10,2.71,1.33,-1.62,0.40,-0.29,-0.39,0.81,0.03,-0.11,-0.15,0.94
1984,-1.47,-0.66,-1.72,-0.63,-0.07,0.20,-0.41,0.59,-0.94,0.00,0.73,-1.04
1985,-0.88,-0.78,1.66,0.81,0.20,-0.20,-0.16,0.15,-0.61,0.52,0.12,-0.68
